shopping,plataforma,tipo_post,data,caption,likes,comentarios,salvos,compartilhamentos,alcance,impressoes,engajamento
CS,Instagram,Carrossel,2026-04-21,"As semifinais da Liga dos Campeões vão ganhar tela grande no Continente Shopping, com transmissão na Praça de Alimentação para você acompanhar cada lance.

Chama a galera, escolhe seu lugar favorito e",36,0,4,4,2494,0,44
CS,Instagram,Reel,2026-04-21,"Só de olhar já sabemos a resposta, né? 😂 

Assista #Michael nas telas da @cinepolisbrasil, sessões a partir de 21/04. Te esperamos aqui! 

#continenteshopping #shopping #cinema #saojose",366,23,9,45,8191,0,443
CS,Instagram,Carrossel,2026-04-20,"Uma tarde pra viver em família 🐾💙

Neste sábado, dia 25 de abril, o Continente Shopping recebe o Musical da Aventura Canina, um espetáculo cheio de música, diversão e personagens que encantam todas as",616,16,102,1348,17520,0,2082
CS,Instagram,Reel,2026-04-20,"Você entrou na @allminioficial do Continente Shopping e não conseguiu sair sem as comidinhas mais diferentes do mundo! 🍡🥤✨

A loja inaugurou hoje e está cheia de novidades em papelaria, mimos e, claro",1638,34,158,2349,28888,0,4179
CS,Instagram,Carrossel,2026-04-20,"Vai aproveitar o feriadão para passear, fazer compras ou curtir um cinema com a família? Confira nossos horários de funcionamento para este período:

🗓 Segunda-feira (20/04) e terça-feira (21/04):
🛍 L",49,5,0,17,4010,0,71
CS,Instagram,Carrossel,2026-04-18,"Tem coisas que o tempo muda.
Outras, ele só melhora. 🎮

Os videogames evoluíram, os gráficos ficaram mais realistas, os controles mais modernos…
mas a sensação de jogar, de passar de fase e de compart",80,2,5,25,2884,0,112
CS,Instagram,Carrossel,2026-04-18,"O melhor plano pro fim de semana já começou: com helado e muuuito Dulce de Leche @havannacontinente 

#havanna #havannabr #dulcemomento #helado
#dulcedeleche",48,2,3,4,2360,0,57
CS,Instagram,Carrossel,2026-04-17,"A cada mudança de estação, o estilo também se renova.

Agora é a hora de escolher suas próximas apostas e entrar na estação com presença, atitude e muito estilo.

Vem descobrir as novidades da @ophici",47,4,4,14,2316,0,69
CS,Instagram,Reel,2026-04-16,"Dos clássicos que marcaram época às tecnologias mais avançadas da atualidade, você vai poder jogar, explorar e se divertir em um ambiente pensado para todas as idades.

💃 Tem área de dança
🥽 Realidade",239,7,22,286,7948,0,554
CS,Instagram,Reel,2026-04-16,"Eu depois de garantir meu ingresso na pré-venda de Michael: já vivendo o show na cabeça, cantando sozinho e achando que tô no palco 🕺

A cinebiografia do Rei do Pop está chegando! Garanta seu ingresso",351,94,7,92,5179,0,544
CS,Instagram,Carrossel,2026-04-15,"Elegância que sai das telas direto para o seu estilo. ✨

Com inspirações no universo de O Diabo Veste Prada 2, as tendências do momento ganham vida nas lojas do Continente Shopping, onde sofisticação ",103,0,7,40,4487,0,150
CS,Instagram,Carrossel,2026-04-14,O acervo de quem entende que um único par nunca é o limite. ✨ Uma curadoria de saltos e texturas para um Inverno inesquecível. Arraste para o lado e descubra as novidades da @arezzo.continente by @ama,45,2,1,2,3854,0,50
CS,Instagram,Carrossel,2026-04-12,"𝑅𝑈𝑁𝑊𝐴𝑌 os reúne outra vez.

#ODiaboVestePrada2, em 30 de abril nos cinemas.

#continenteshopping #cinema",980,13,22,215,10022,0,1230
CS,Instagram,Reel,2026-04-10,"De 11/04 até 11/05 evento gratuito #Prepare-se para apertar o play na nostalgia!

O Super Games chega ao Continente Shopping com uma experiência interativa que reúne o melhor dos videogames de todas a",67,6,4,66,3103,0,143
CS,Instagram,Carrossel,2026-04-08,"Prepare-se para apertar o play na nostalgia!

O Super Games chega ao Continente Shopping com uma experiência interativa que reúne o melhor dos videogames de todas as gerações.

Dos clássicos que marca",252,7,29,323,7545,0,611
CS,Instagram,Carrossel,2026-04-07,"Abril chegou e a telona da @cinepolisbrasil no Continente Shopping está pronta para receber os lançamentos mais aguardados do ano. Se você é fã de cinema, prepare a pipoca porque o mês está imperdível",278,4,14,143,6828,0,439
CS,Instagram,Carrossel,2026-04-07,"Abril é mês de conscientização, respeito e inclusão.

O Continente Shopping preparou uma programação especial de Abril Azul em parceria com @amafloripa com ações que convidam toda a comunidade a refle",101,8,4,93,3329,0,206
CS,Instagram,Carrossel,2026-04-06,"🎮 ATENÇÃO gamers de todas as idades!

A Arena Super Games está chegando no Continente Shopping trazendo a maior experiência gamer da região, uma verdadeira viagem pelos jogos que marcaram gerações.

P",249,5,24,285,8770,0,563
CS,Instagram,Carrossel,2026-04-06,"O mês mudou, mas o destino preferido continua o mesmo: Continente Shopping! 

Neste mês de abril, preparamos uma agenda especial para você viver momentos incríveis.

Lembrando que de segunda a quinta ",1104,21,114,909,27561,0,2148
CS,Instagram,Reel,2026-04-05,"A Páscoa nos convida a renovar sentimentos, fortalecer laços e valorizar o que realmente importa: estar presente. 

Que este momento seja de união, esperança e novos começos, ao lado de quem faz a vid",360,5,6,24,9878,0,395
CS,Instagram,Carrossel,2026-04-04,"Em clima de Páscoa, nosso shopping se encheu de alegria! A nossa caça aos doces foi um sucesso e transformou o dia em uma experiência inesquecível para a criançada e suas famílias.

Acreditamos que a ",142,5,0,11,5279,0,158
CS,Instagram,Imagem,2026-04-03,"O filme do Mario chegou trazendo nostalgia, diversão e muita ação! E pra deixar tudo ainda mais épico, a @cinepolisbrasil preparou um balde de pipoca temático do Yoshi simplesmente incrível 🤩

Corre g",274,16,13,110,7694,0,413
CS,Instagram,Carrossel,2026-04-03,"Seu almoço de sexta-feira é no Continente Shopping!

Seja para manter a tradição com um peixe grelhado, saborear um risoto ou aproveitar um combo de sushi fresquinho, estamos prontos para receber você",49,4,1,10,3555,0,64
CS,Instagram,Reel,2026-04-02,"A época mais dulce do ano chegou. Páscoa Havanna com muuuuito Dulce de Leche @havannacontinente 

#continenteshopping #havanna #pascoa #dulcedeleche #dulcemomento",31,0,0,11,3140,0,42
CS,Instagram,Carrossel,2026-04-02,"A busca pelo ovo de Páscoa perfeito termina aqui! 🍫✨

Das opções clássicas as mais irresístiveis, nossas lojas estão recheadas de delícias para deixar o seu feriado inesquecível. E o melhor: sua compr",38,0,1,2,3434,0,41
CS,Instagram,Carrossel,2026-04-02,"Por um passeio mais leve e acolhedor para todos. ❤️🧩

Aqui no Continente Shopping, acreditamos que o lazer deve ser acessível e confortável para todos. Por isso, reforçamos nossas iniciativas de apoio",171,5,3,28,4754,0,207
CS,Instagram,Carrossel,2026-03-31,"Direto pra uma nova galáxia… e com ingresso garantido 🚀🍄
 
A pré-venda de “Super Mario Galaxy: O Filme” já começou! Não perca a chance de viver essa aventura épica cheia de nostalgia e diversão.
 
Gar",154,6,7,66,5379,0,233
CS,Instagram,Reel,2026-03-30,"@eleveby26.continente não é só uma academia. É o começo de um novo nível.

Aqui, cada detalhe foi pensado para entregar experiência, performance e resultado: estrutura premium, energia certa e um ambi",48,1,2,2,2880,0,53
CS,Instagram,Reel,2026-03-28,"Páscoa do jeitinho que a gente ama! 🍫 

Chamamos a @lauracquadros e @kalliuporai para provar as novidades MAIS irresistíveis da @brasilcacau_continenteshopping… e olha, foi amor na primeira mordida! 🤤",291,93,10,79,15191,0,473
CS,Instagram,Reel,2026-03-26,"Suas compras no Continente Shopping valem um iPhone 17 Black! 

A @lauracquadros veio te mostrar como transformar suas notas fiscais em chances de ganhar o smartphone mais moderno do mercado. É simple",114,11,3,5,3783,0,133
CS,Instagram,Carrossel,2026-03-25,"📱 Seu próximo iPhone pode estar mais perto do que você imagina.

Confira o passo a passo e participe do sorteio pelo App AJFans. Cada compra pode se transformar em uma nova chance de ganhar.

A cada 1",39,4,4,11,4259,0,58
CS,Instagram,Carrossel,2026-03-24,"Tem coisas que são essenciais na Páscoa. O Ovo Recheado de Marshmallow da @goldko.continente é uma delas 🐰

Um marshmallow sem açúcar, com uma textura e sabor que só a GoldKo consegue entregar.

É o e",38,2,3,0,3122,0,43
CS,Instagram,Reel,2026-03-23,"A Amarelinha já está entre nós! O único manto com cinco estrelas no peito está pronto pra voar livre.

A nova camisa I da Seleção Brasileira acaba de chegar no Continente Shopping. Uma celebração para",175,13,3,18,4837,0,209
CS,Instagram,Reel,2026-03-22,"Quando viajamos, o nosso primeiro desejo é mergulhar na história e nos monumentos do destino, não é? 🌍 Mas e se a gente olhasse para a nossa própria cidade com esse mesmo olhar de turista?

Neste últi",230,12,10,16,4267,0,268
CS,Instagram,Imagem,2026-03-22,"Quer ganhar um iPhone 17 Black? É fácil, basta participar do sorteio exclusivo no App AJFans!

📝 Cadastre suas notas fiscais no app e ganhe 1 ponto a cada real gasto. Já é NewFan, SuperFan ou MegaFan?",21,0,4,4,2967,0,29
CS,Instagram,Carrossel,2026-03-21,"A magia só acontece de verdade quando temos um público tão especial para compartilhá-la! ✨💖

Hoje, o palco do Continente Shopping transbordou alegria com o musical “A Menina da Casa Mágica”. Ver cada ",284,11,6,72,7865,0,373
CS,Instagram,Carrossel,2026-03-19,"Absolute cinema 🍿 

Reviva o início de uma das sagas mais marcantes do cinema com reexibição de “Crepúsculo” nas telonas da @cinepolisbrasil 

De 19/03 a 25/03, volte a Forks e reviva novamente esse c",4382,55,127,1752,56420,0,6316
CS,Instagram,Reel,2026-03-19,"Entre tantas histórias que nasceram ao longo desses 276 anos, existe algo em comum: o orgulho de ser de São José. ✨

Uma cidade cheia de vida, que cresce junto com as pessoas que vivem aqui.

E o Cont",61,3,2,8,2863,0,74
CS,Instagram,Reel,2026-03-17,"Um palco cheio de histórias no coração de São José!

O Theatro Adolpho Mello acompanha a cidade desde o seu nascimento e já viveu muitas fases: de apresentações teatrais a cinema e até quartel. Hoje, ",211,27,4,29,4935,0,271
CS,Instagram,Carrossel,2026-03-17,"A semana está cheia de programação no Continente Shopping! Tem musical infantil e cinema com desconto para você aproveitar momentos especiais com a família, living painting, jazz ao vivo e promoções e",207,2,22,180,7713,0,411
CS,Instagram,Reel,2026-03-17,"✨ Promoção exclusiva para fãs de K-Pop!

Para celebrar o musical Guerreiras do K-Pop, a @anacapricontinente preparou um presente especial no Continente Shopping. 

👟 Na compra de um tênis da marca, vo",68,6,2,36,4607,0,112
CS,Instagram,Reel,2026-03-16,"Você sabe como começou a economia de São José?

No segundo episódio da nossa série especial de aniversário da cidade, o @guiamanezinho conta curiosidades sobre as atividades que movimentaram São José ",126,14,6,10,3660,0,156
CS,Instagram,Carrossel,2026-03-16,"Quem disse que jeans não é digno de tapete vermelho? ✨

Na cobertura da maior premiação do cinema, @caropita levou para Hollywood um look exclusivo criado a partir do denim da @cea_brasil. O vestido, ",15,0,2,2,2319,0,19
CS,Instagram,Reel,2026-03-15,"Quem disse que quem nasce no continente não é Manezinho? 👀 

Em comemoração aos 276 anos de São José, convidamos o nosso estimado @guiamanezinho para uma série super especial, cheia de histórias, curi",493,45,18,148,9237,0,704
CS,Instagram,Carrossel,2026-03-15,"A aventura vai começar! 🍄

Os ingressos para Super Mario Galaxy: O Filme já estão disponíveis na @cinepolisbrasil ⭐🎬

Prepare-se para embarcar nessa jornada pelo universo do Mario Galaxy e garantir se",1725,22,82,913,37168,0,2742
CS,Instagram,Reel,2026-03-14,"Já anota na agenda: 19/03 Aniversário de São José às 19h

🎟️ Evento gratuito no Continente Shopping.

O musical Heroínas do K-Pop chega ao Continente Shopping no dia 19/03, às 19h, com muita atitude, ",426,19,36,564,18570,0,1045
CS,Instagram,Reel,2026-03-13,"A gente veste a camisa. Desde sempre. 🇧🇷✨

A camisa da Seleção Brasileira chegou no Continente Shopping. 

Disponível nas lojas Nike Unite e Centauro. Garanta já a sua! ⚽️🔥

#copa #brasil #nike #centa",408,28,17,145,9501,0,598
CS,Instagram,Carrossel,2026-03-12,"Direto para o Uruguai, sem sair do Continente Shopping 🇺🇾

A @amanddasasso veio viver a experiência do @narbona.br o único restaurante da marca no Brasil, e se surpreendeu com uma gastronomia cheia de",69,2,6,3,2980,0,80
CS,Instagram,Reel,2026-03-12,Live especial de Páscoa na @kopenhagen_continenteshopping 🍫,16,0,0,2,1273,0,18
CS,Instagram,Carrossel,2026-03-12,"Cada momento pede uma escolha de JEANS @damyller diferente. Do conforto à atitude, cada modelagem traduz estilo e personalidade. A escolha é sua: qual delas acompanha melhor o seu dia a dia? Comenta a",12,0,1,0,1122,0,13
CS,Instagram,Imagem,2026-03-11,"Coelhinho da Páscoa, o que trazes pra mim? 🐰 

Muitos doces, diversão e uma caça especial pelo shopping para as crianças viverem a magia da Páscoa!

No dia 28 de março, sábado, o Continente Shopping c",237,35,42,264,10993,0,578
CS,Instagram,Carrossel,2026-03-11,"Nessa temporada, o @cafecultura escolheu celebrar o que é nosso: BRIGADEIRO. O doce mais afetivo, que tem gosto de abraço e memória, é o grande protagonista da nossa Páscoa!

Ele chega transformando n",74,4,2,21,2528,0,101
CS,Instagram,Carrossel,2026-03-10,"Dois musicais especiais chegam ao Continente Shopping para encantar públicos de todas as idades! 🎶✨

🎤 19/03 – Quinta-feira: Musical Heroínas do K-Pop
Às 19h, um espetáculo vibrante inspirado no unive",231,21,33,335,10704,0,620
CS,Instagram,Carrossel,2026-03-10,"A semana em comemoração ao Dia do Consumidor começa com um combo de vantagens no nosso programa de relacionamento AJFans.

De 09 a 15 de março, tem benefícios exclusivos, cupons e descontos, ingressos",510,4,99,777,17488,0,1390
CS,Instagram,Carrossel,2026-03-09,"A semana em comemoração ao Dia do Consumidor começa com um combo de vantagens no nosso programa de relacionamento AJFans.

De 09 a 15 de março, tem benefícios exclusivos, cupons e descontos, ingressos",15,1,2,3,1341,0,21
CS,Instagram,Carrossel,2026-03-08,"Procurando um programa diferente para este domingo? No Continente Shopping, o dia é para os apaixonados por história e nostalgia.

Vem para a Feira de Colecionismo, um encontro imperdível para quem am",216,2,5,20,4443,0,243
CS,Instagram,Reel,2026-03-05,"Especial dia da mulher: unimos o cuidado da @adcoscontinente com a doçura irresistível da @goldko.continente para criar uma experiência especial.

Confira nossa programação especial para os dias 7 e 8",68,16,1,6,3527,0,91
CS,Instagram,Carrossel,2026-03-04,"Os filmes mais aguardados de 2026 🎬✨

Já salva esse post e manda pra aquela pessoa que vai sentar do seu lado na @cinepolisbrasil pra conferir todos esses lançamentos 🍿👀

#continenteshopping #cinema #",1674,20,266,1845,23644,0,3805
CS,Instagram,Carrossel,2026-03-03,"O mês mudou, mas o destino preferido continua o mesmo: Continente Shopping! 

Neste mês de março, preparamos uma agenda especial para você viver momentos incríveis.

Lembrando que de segunda a quinta ",2814,37,396,3313,64102,0,6560
CS,Instagram,Imagem,2026-03-01,"Já anota na agenda: 19/03 Aniversário de São José às 19h

Elas cantam, dançam, inspiram e conquistam 🎤 

O musical Heroínas do K-Pop chega ao Continente Shopping no dia 19/03, às 19h, com muita atitud",418,23,67,635,13287,0,1143
CS,Instagram,Carrossel,2026-02-28,"Homem do Sapato no Continente Shopping

Agora, você tem à disposição uma linha exclusiva de calçados masculinos com qualidade e sofisticação para todos os momentos. Do look casual ao mais formal, a Ho",57,0,0,3,2659,0,60
CS,Instagram,Reel,2026-02-26,"Ainda em ritmo de folia por aqui! 🥁✨ Nosso #TBT de hoje é pra relembrar os sorrisos e a energia contagiante do nosso Carnaval.

Queremos agradecer a cada um de vocês que trouxe animação, fantasias cri",72,12,2,13,3907,0,99
CS,Instagram,Carrossel,2026-02-25,"Luzes apagadas.
Coração acelerado.
Balde na mão.

A pré-venda de #Pânico7 já está aberta! O filme estreia dia 26 de fevereiro, mas já terá sessões especiais a partir do dia 25, somente nos cinemas. Co",415,7,7,151,6393,0,580
CS,Instagram,Carrossel,2026-02-24,"O Inverno 2026 da @chua_continente já começou a chegar. 

O Preview de Inverno é o convite perfeito para renovar o closet com as tendências que acabaram de sair das passarelas. Peças versáteis, cortes",19,1,2,7,1560,0,29
CS,Instagram,Carrossel,2026-02-22,"O @narbona.br chegou ao Continente Shopping!

A primeira unidade no Brasil do renomado restaurante uruguaio traz uma experiência gastronômica única, com vinhos próprios, pratos autênticos e uma fábric",60,6,4,15,3187,0,85
CS,Instagram,Carrossel,2026-02-21,"Última chamada para os pequenos protetores da natureza! 🌿🦦

O @capivalleyparque está vivendo seus últimos dias aqui no @continenteshopping e você não pode deixar essa aventura passar. É a oportunidade",39,2,2,25,5683,0,68
CS,Instagram,Reel,2026-02-19,"Estávamos esperando por isso há muito tempo! 🔪🖤

#Pânico7 estreia dia 26 de fevereiro na @cinepolisbrasil. Um novo capítulo da clássica franquia do cinema. Garanta agora seu lugar.

🍿 Balde já disponí",385,65,4,144,9902,0,598
CS,Instagram,Reel,2026-02-19,#tbt de um musical inédito em Santa Catarina! Ainda estamos encantados com o Musical das Capivaras que aconteceu aqui no Continente Shopping. Quem viveu esse momento com a gente sabe o quanto foi espe,40,1,2,7,3572,0,50
CS,Instagram,Carrossel,2026-02-19,"Hoje é o dia perfeito pra reunir a galera, trocar ideia e aproveitar um burguer de respeito! 🍔🔥 @bombeefburgers 

🚘 Aproveite para almoçar no Continente Shopping com estacionamento gratuito de segunda",21,2,2,2,1591,0,27
CS,Instagram,Carrossel,2026-02-18,"Que energia incrível! 🙌🎊 O Carnaval no Continente Shopping chegou ao fim, mas as memórias que criamos juntos vão ficar por muito tempo. Queremos agradecer a todos que trouxeram sua animação, suas fant",98,18,2,34,4259,0,152
CS,Instagram,Carrossel,2026-02-16,"Nossas capivarinhas deram um show de talento, mas o verdadeiro espetáculo aconteceu na plateia. Ficamos encantados com a animação das famílias e a recepção calorosa que deram ao nosso musical 💜

Agrad",79,12,1,14,3834,0,106
CS,Instagram,Reel,2026-02-15,"Confira a programação de carnaval:
🍃 Segunda-feira: Musical das Capivaras às 17h
🐾 Terça-feira: Carnapet das 14h às 16h
🥳 Terça-feira: Bailinho Kids das 16h às 18h

A folia está garantida no Continent",33,4,0,13,2792,0,50
CS,Instagram,Carrossel,2026-02-15,"Um pedacinho do Uruguai agora aqui!

No @narbona.br cada detalhe conta uma história de tradição e sabor. Comece sua jornada explorando nossa seleção de vinhos exclusivos, vindos diretamente de Terraza",33,2,1,8,2598,0,44
CS,Instagram,Reel,2026-02-14,"MUSICAL INÉDITO DAS CAPIVARAS NESTA SEGUNDA

Nesta segunda-feira, às 17h, tem apresentação especial do musical das capivaras no Continente Shopping, na Praça de Alimentação, e o melhor: evento gratuit",51,9,5,26,4235,0,91
CS,Instagram,Carrossel,2026-02-13,"Procurando um programa diferente para este Carnaval? No Continente Shopping, a folia é para os apaixonados por história e nostalgia.

Vem aí a Feira de Colecionismo, um encontro imperdível para quem a",267,18,19,125,6429,0,429
CS,Instagram,Carrossel,2026-02-12,"Já prepara a pipoca e atualize a sua lista! 🎬🍿 O ano de 2026 promete ser um ano incrível para quem não dispensa uma ida ao cinema. Tem de tudo: do mundo da moda à ficção científica, passando por roman",406,2,47,332,8009,0,787
CS,Instagram,Reel,2026-02-12,"VEM PRO BAILINHO DO CONTINENTE! 🎊🎭

Anota na agenda para não esquecer:
🗓 Terça-feira, 17/02
⏰ A partir das 16h
📍 Praça de Alimentação do Continente Shopping

A Isis já escolheu a fantasia e espera por",105,16,10,111,4795,0,242
CS,Instagram,Reel,2026-02-11,"Procurando o salão perfeito para o seu Glow Up de Carnaval? ✨

No @frankdferranfloripa a gente prepara o seu visual para brilhar do primeiro acorde até o último bloco! Seja um penteado que aguenta a f",63,18,5,15,4150,0,101
CS,Instagram,Carrossel,2026-02-10,"Esperou o ano inteiro pelo carnaval? 🥳🎉 Aqui você encontra looks e acessórios que vão fazer seu visual brilhar no bloco, avenida e rolê. Descubra o seu favorito.

#continenteshopping #carnaval #look",13,0,1,0,1474,0,14
CS,Instagram,Carrossel,2026-02-03,"Alerta de fofura máxima passando no seu feed! 🚨🐾

Já conhece a Capiloja? É o lugar oficial para você levar um pedacinho do @capivalleyparque para casa. Da pelúcia da Capitu aos acessórios mais descola",47,1,1,12,4025,0,61
CS,Instagram,Carrossel,2026-02-02,"Cinema por R$10?! A SEMANA DO CINEMA NA CINÉPOLIS está chegando… e vai ser IM-PER-DÍ-VEL! 🎬✨

Prepare-se para iniciar a contagem regressiva, porque vem aí dias inteiros de cinema do jeito que você ama",3697,44,353,7034,79360,0,11128
CS,Instagram,Reel,2026-02-01,"Se você achou que a parte 1 já tinha resolvido o problema do calor, calma que a @lauracquadros vai te mostrar muita lá opções gostosas e geladas para refrescar! 🍨 

Nossa busca pela sobremesa perfeita",118,8,9,21,8716,0,156
CS,Instagram,Carrossel,2026-01-31,"Neste final de semana tem o encontro com as capivaras mais amadas: Capitu e Cacá aqui no @capivalleyparque, das 14h às 16h.

Muito mais do que um parque de diversões, é uma experiência lúdica onde as ",59,0,0,6,3776,0,65
CS,Instagram,Carrossel,2026-01-28,"Hoje é o Dia Internacional do #lego e por aqui a gente sabe: não existem limites para quem tem um bloco na mão e uma ideia na cabeça. 

Seja para montar naves espaciais, cidades inteiras ou aquele car",32,0,2,3,2019,0,37
CS,Instagram,Carrossel,2026-01-27,"Procurando um programa imperdível para a criançada gastar energia?

Na Terça Maluca do @wow.park a diversão é garantida pela METADE do preço! Todas as terças-feiras, todos os ingressos do parque saem ",107,4,18,99,6824,0,228
CS,Instagram,Reel,2026-01-27,"O tênis preferido dos corredores brasileiros agora nas cores da @oficialworldtennis 🏃🏻 

O Olympikus Corre 4 ganhou uma edição limitada e exclusiva em comemoração aos 35 anos da loja que mais entende ",106,11,6,58,5972,0,181
CS,Instagram,Reel,2026-01-25,"Ô abre alas que eu quero passar! 🥳🎊

O Carnaval do Continente Shopping já tem data marcada! Dia 17/02 (terça-feira de Carnaval) teremos o clássico BAILINHOS KIDS e CARNAPET.

Já anota na agenda e venh",38,2,6,39,5599,0,85
CS,Instagram,Carrossel,2026-01-25,"Vencedor do Globo de Ouro de Melhor Filme de Drama, “Hamnet: A Vida Antes de Hamlet” já está nas telas do Continente Shopping. Sob o olhar poético da diretora Chloé Zhao, acompanhamos a história de An",37,0,2,4,3934,0,43
CS,Instagram,Story,2026-04-24,,0,0,0,0,2261,0,0
CS,Instagram,Story,2026-04-24,,0,6,0,0,2398,0,6
CS,Instagram,Story,2026-04-24,,0,1,0,0,2634,0,1
BS,Instagram,Carrossel,2026-04-24,"✨ Seu final de semana começa no Balneário Shopping

Encontro de Goldens, musical A Menina da Casa Mágica, Orion Verso e a exposição Legueiros — experiências para todos os momentos.

👉 Programe sua vis",159,1,5,99,7559,0,264
BS,Instagram,Carrossel,2026-04-24,"📱 O iPhone 17 já tem novos donos! ✨

A sorte brilhou para quem utilizou o App AJFans! Confira quem garantiu o prêmio aqui no Balneário Shopping:

🏆 Ganhador(a): Vinicius Teodoro

Parabéns! 🎉 Agora é s",9,0,0,4,817,0,13
BS,Instagram,Carrossel,2026-04-24,"🐾✨ Tarde perfeita para quem ama goldens.

Além do encontro, você vai encontrar dicas de cuidados, ativações especiais e brindes para aproveitar ainda mais a experiência.

📅 25 de abril
📍 Praça de Even",57,0,1,16,1290,0,74
BS,Instagram,Carrossel,2026-04-23,"✨ Programa perfeito para o fim de semana.

Musical + fotos com a personagem + momentos para guardar na memória.

📅 26/04 | 17h
📍 Piso L1

👉 Esperamos você.",29,4,2,14,1275,0,49
BS,Instagram,Carrossel,2026-04-23,"💛🐶 Um encontro para aprender, compartilhar e aproveitar.

Teremos dicas de adestramento e cuidados, ativações de marcas e brindes ao longo da tarde.

📅 25/04 | 15h às 17h
📍 Piso L1

👉 Esperamos você e",123,5,2,80,2937,0,210
BS,Instagram,Carrossel,2026-04-23,"✨ O Dia das Mães está chegando, e a oportunidade de ganhar um presente de luxo também! 

💐 No Balneário Shopping, você tem a chance de conquistar o incrível Jaecoo 7 Luxury, o SUV híbrido de luxo, a c",28,3,1,27,4053,0,59
BS,Instagram,Reel,2026-04-23,"Sim, os carros entram assim mesmo.
E esse aqui não veio só de visita não.

ELE CHEGOU. O prêmio da nossa campanha de Mães.

Um Jaecoo 7 Luxury, híbrido, tecnológico e simplesmente surreal.

E agora ve",65,4,4,26,3094,0,99
BS,Instagram,Carrossel,2026-04-22,"💫 Um convite para entrar em um universo mágico.

“A Menina da Casa Mágica” chega ao Balneário Shopping com uma apresentação encantadora e um momento especial de fotos ao final.

👉 Programe-se para viv",93,4,11,84,4340,0,192
BS,Instagram,Reel,2026-04-22,"🐾✨ Vem aí: Encontro de Goldens no Balneário Shopping

Uma tarde especial com dicas de adestramento, cuidados, ativações de marcas e brindes para você e seu golden.

📅 25 de abril
🕒 Das 15h às 17h
📍 Pr",291,20,4,188,9751,0,503
BS,Instagram,Carrossel,2026-04-21,"✨ Vem aí: A Menina da Casa Mágica - O Musical 

Um musical cheio de encanto, imaginação e momentos especiais para toda a família.

📅 26 de abril | 17h
📍 Praça de Eventos – Piso L1
🎟️ Gratuito

📸 E ao ",164,6,45,272,6850,0,487
BS,Instagram,Reel,2026-04-21,"✨ Silvia Braz e Bebela x Riachuelo. 
E o resultado? simplesmente impecável.

Modelagens atemporais, cores versáteis e aquela elegância sem esforço que a gente reconhece de longe.

📍 Disponível na Riac",157,0,1,32,3821,0,190
